id,label
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,1
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,0
564,0
565,0
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,1
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,0
640,0
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,1
691,0
692,0
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,1
743,1
744,0
745,0
746,1
747,1
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,0
812,0
